Date,Workout,Exercise,Weight,Sets,Reps
2016-12-26,Power Upper,Bench Press,115,3,5
2017-01-02,Power Upper,Bench Press,120,3,5
2017-01-09,Power Upper,Bench Press,120,4,5
2017-01-16,Power Upper,Bench Press,125,4,5
2017-01-23,Power Upper,Bench Press,125,4,5
2017-01-30,Power Upper,Bench Press,125,4,5
2017-02-06,Power Upper,Bench Press,130,4,5
2017-02-13,Power Upper,Bench Press,130,4,5
2017-02-23,Power Upper,Bench Press,135,4,5
2017-02-27,Power Upper,Bench Press,135,4,5
2017-03-06,Power Upper,Bench Press,135,4,5
2017-03-13,Power Upper,Bench Press,135,4,5
2017-03-23,Power Upper,Bench Press,135,4,5
2017-03-27,Power Upper,Bench Press,140,4,5
2017-04-03,Power Upper,Bench Press,140,4,5
2017-04-09,Power Upper,Bench Press,140,4,5
2017-04-20,Power Upper,Bench Press,145,4,5
2017-04-24,Power Upper,Bench Press,145,4,5
2017-05-01,Power Upper,Bench Press,145,4,5
2017-05-09,Power Upper,Bench Press,145,4,5
2017-05-15,Power Upper,Bench Press,145,4,5
2017-06-01,Power Upper,Bench Press,135,4,5
2017-06-05,Power Upper,Bench Press,135,4,5
2017-06-12,Power Upper,Bench Press,140,4,5
2017-06-17,Power Upper,Bench Press,140,4,5
2017-06-26,Power Upper,Bench Press,145,4,5
2017-07-18,Power Upper,Bench Press,125,4,5
2017-07-25,Power Upper,Bench Press,135,4,5
2017-07-31,Power Upper,Bench Press,140,4,5
2017-08-10,Power Upper,Bench Press,140,4,5
2017-08-14,Power Upper,Bench Press,145,4,5
2017-08-21,Power Upper,Bench Press,145,4,5
2017-08-28,Power Upper,Bench Press,145,4,5
2017-09-07,Power Upper,Bench Press,150,4,5
2017-09-11,Power Upper,Bench Press,150,4,5
2017-09-19,Power Upper,Bench Press,150,4,5
2017-09-25,Power Upper,Bench Press,155,4,5
2017-10-04,Power Upper,Bench Press,155,4,5
2017-10-12,Power Upper,Bench Press,145,4,5
2017-10-19,Power Upper,Bench Press,155,4,5
2017-10-26,Power Upper,Bench Press,145,4,5
2017-11-06,Power Upper,Bench Press,145,4,5
2017-11-13,Power Upper,Bench Press,150,4,5
2017-11-20,Power Upper,Bench Press,150,4,5
2017-11-26,Power Upper,Bench Press,150,4,5
2017-12-02,Power Upper,Bench Press,150,4,5
2017-12-08,Power Upper,Bench Press,150,4,5
2017-12-20,Power Upper,Bench Press,155,4,5
